job_id,timestamp,model_type,framework,gpu_type,num_gpus,batch_size,dataset_size,cpu_cores,ram_gb,estimated_flops,distributed_training,mixed_precision,runtime_hours,peak_vram_gb,gpu_utilization,failed,failure_reason
e16df8ed-b0df-4a8b-9ce8-b178713cbc6b,2025-11-04T05:37:00,recommendation,pytorch,t4,2,32,3754854,16,512,82137431250000.0,True,False,0.258,16.128,74.341,False,none
bc1f145a-fb9f-47d8-9e2b-a953d9cda69b,2025-11-02T11:38:00,resnet,pytorch,t4,1,32,8488454,48,16,212211350000000.0,False,True,1.21,13.823,94.276,False,none
96219ebd-0874-4aa9-a78b-5d03f7f48ac7,2025-09-03T02:24:00,bert,tensorflow,a100,1,32,7100293,24,64,554710390625000.0,False,True,1.575,15.536,73.19,False,none
bd36c588-200d-4e51-af12-336598163b9d,2025-04-01T21:29:00,resnet,pytorch,rtx4090,1,64,5780619,48,64,72257737500000.0,False,False,0.21,17.86,85.209,False,none
4f52bcf7-a0eb-45a2-9e89-1156ee4f57e7,2025-07-30T17:25:00,vision_transformer,pytorch,a100,4,256,6077228,48,32,106826273437500.0,True,True,0.09,22.73,82.511,False,none
7270fed2-cfa2-4f07-bef7-49c002a479f6,2025-02-21T23:50:00,resnet,pytorch,t4,2,64,7616962,64,64,95212025000000.0,True,True,0.227,13.823,70.411,False,none
4f616094-c24e-48cc-ad14-f95435c77582,2025-08-25T03:15:00,stable_diffusion,jax,v100,2,16,7765439,32,64,7280099062500000.0,False,True,38.568,23.391,53.041,False,none
7ca222c2-5a54-4463-9107-333ab7b972c3,2025-06-04T19:55:00,resnet,pytorch,t4,2,128,4501946,8,32,28137162500000.0,False,True,0.063,17.266,69.253,False,none
cb88a386-de0e-47fc-8270-0a8c60d8f640,2025-11-08T23:25:00,recommendation,tensorflow,rtx4090,2,32,4453951,16,32,97430178125000.0,True,True,0.103,11.218,79.771,False,none
7660481c-bea4-47f0-bffd-f217c07545be,2025-04-27T11:53:00,stable_diffusion,tensorflow,a100,2,16,8558432,32,16,8023530000000000.0,True,False,22.779,25.673,59.052,False,none
d342bef5-23df-4d87-8793-6dfd960ab521,2025-03-25T09:56:00,recommendation,tensorflow,t4,2,128,7862574,48,64,42998451562500.0,False,False,0.166,23.296,73.291,True,oom
